"Usuario","CsvInicio","CsvFin","EnSistema","MatchesSistema","MatchesCuentaCompleta","IdSistema","Plataforma","Modalidad","Estado","SistemaInicio","SistemaFin","Problema"
"MarcioG25","2022-11-26","2026-06-04","SI","1","1","206","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2022-11-26","2026-06-04","OK"
"Lisett32","2022-11-22","2026-08-22","SI","1","1","226","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2022-11-22","2026-08-22","OK"
"Carla175","2022-11-10","2026-08-07","SI","1","1","221","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2022-11-10","2026-08-07","OK"
"Harold195","2022-11-04","2026-05-31","SI","1","1","205","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2022-11-04","2026-05-31","OK"
"ArielG186","2022-11-03","2026-05-09","SI","1","1","190","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2022-11-03","2026-05-09","OK"
"Edson02023","2022-11-02","2026-05-06","SI","1","1","189","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2022-11-02","2026-05-06","OK"
"Jannette","2022-10-28","2026-05-30","SI","1","1","203","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2022-10-28","2026-05-30","OK"
"AlisonSR","2022-10-24","2026-04-29","SI","1","1","186","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2022-10-24","2026-04-29","OK"
"gustavo187","2022-10-23","2026-11-08","SI","1","1","172","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2022-10-23","2026-11-08","OK"
"Mgtvplusbo193","2022-10-22","2026-06-08","SI","1","1","149","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2022-10-22","2026-06-08","OK"
"AbastoflorF","2022-10-19","2026-05-19","SI","1","1","196","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2022-10-19","2026-05-19","OK"
"MiguelFerrufino","2022-09-30","2026-05-31","SI","1","1","204","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2022-09-30","2026-05-31","OK"
"Dego","2022-09-24","2026-11-28","SI","1","1","183","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2022-09-24","2026-11-28","OK"
"OvidioMB","2022-09-21","2026-10-22","SI","1","1","166","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2022-09-21","2026-10-24","FECHA FIN DIFERENTE"
"augustogs","2022-09-11","2026-09-13","SI","1","1","232","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2022-09-11","2026-09-13","OK"
